序号,课程名称,课程难度,作业多少,给分好坏,收获大小,选课类别,教学类型,课程类型,开课单位,课程层次,学分
0,计算机程序设计A（白雪飞）,中等,中等,超好,很多,计划,理论实验课,本科计划内课程,信息科学技术学院,通修,4.0
1,马克思主义基本原理（颜惠箭）,中等,很少,超好,很多,计划,理论课,本科计划内课程,马克思主义学院,通修,3.0
2,几何学基础（盛茂）,中等,很少,超好,很多,计划,理论课,本科计划内课程,数学科学学院,专业基础,3.0
3,拓扑学(H)（王作勤）,困难,很多,超好,很多,计划,理论课,本科计划内课程,数学科学学院,专业核心,4.0
4,数学分析(B2)（程艺）,中等,中等,超好,很多,计划,理论课,本科计划内课程,数学科学学院,通修,6.0
5,数学分析(B1)（程艺）,中等,中等,超好,很多,计划,理论课,本科计划内课程,数学科学学院,通修,6.0
6,理论力学A（朱界杰）,困难,中等,超好,很多,计划,理论课,本科计划内课程,物理学院,专业基础,4.0
7,原子物理（王双）,简单,中等,超好,很多,计划,理论课,本科计划内课程,物理学院,通修,4.0
8,电磁学A（秦敢）,中等,中等,超好,很多,计划,理论课,本科计划内课程,物理学院,通修,4.0
9,多变量微积分（潘永亮）,中等,很少,超好,很多,计划,理论课,本科计划内课程,数学科学学院,通修,6.0
10,微分方程I（赵立丰）,中等,中等,超好,很多,计划,理论课,本科计划内课程,数学科学学院,专业基础,4.0
11,多变量微积分（汪琥庭）,中等,中等,超好,很多,计划,理论课,本科计划内课程,数学科学学院,通修,6.0
12,电路基本理论（胡新伟）,中等,中等,超好,很多,计划,理论课,本科计划内课程,信息科学技术学院,专业基础,3.0
13,量子力学B（易为）,中等,中等,超好,很多,计划,理论课,本科计划内课程,物理学院,专业基础,4.0
14,单变量微积分（汪琥庭）,中等,中等,超好,很多,计划,理论课,本科计划内课程,数学科学学院,通修,6.0
15,信号与系统（郭武）,中等,中等,超好,很多,计划,理论课,本科计划内课程,电子工程与信息科学系,专业基础,4.0
16,近世代数与数论（张卫明）,中等,中等,超好,很多,计划,理论课,本科计划内课程,信息安全,专业基础,3.0
17,社会心理学（杨映秋）,简单,很少,超好,一般,通识,理论课,核心通识,人文素质教学研究部,通修,2.0
18,数学分析(B1)（汪琥庭）,中等,中等,超好,很多,计划,理论课,本科计划内课程,数学科学学院,通修,6.0
19,线性电子线路（陆伟）,中等,很少,超好,很多,计划,理论课,本科计划内课程,信息科学技术学院,专业基础,3.0
20,理论力学A（潘海俊）,困难,很多,超好,很多,计划,理论课,本科计划内课程,物理学院,专业基础,4.0
21,单变量微积分（李娟）,中等,中等,一般,很多,计划,理论课,本科计划内课程,数学科学学院,通修,6.0
22,天体物理概观（向守平）,简单,很少,超好,很多,通识,理论课,一般通识,天文学系,自由选修,2.0
23,线性代数(B1)（许小卫）,中等,很少,超好,很多,计划,理论课,本科计划内课程,数学科学学院,通修,4.0
24,西方油画艺术赏析（郭浩）,简单,很少,超好,很多,通识,理论课,核心通识,人文素质教学研究部,通修,2.0
25,概率论（刘党政）,困难,中等,超好,很多,计划,理论课,本科计划内课程,数学科学学院,专业核心,3.0
26,中国近现代史纲要（李萍）,简单,很少,超好,很多,计划,理论课,本科计划内课程,马克思主义理论教学研究部,通修,3.0
